Sample,Strain,Species,mSlope,sdSlope
C0056B5.1B2.B,C0056B5,Gardnerella greenwoodii,0.27137480375109135,0.022848930944768017
C0084H9.3A1.A,C0084H9,Gardnerella lacydonensis,0.6094290911281106,0.0834090371416678
C0084H9.3A1.B,C0084H9,Gardnerella lacydonensis,0.6316183104987603,0.13323087076813825
C0084H9.3A2.A,C0084H9,Gardnerella lacydonensis,0.5572715774860609,0.1824215335881732
C0084H9.3A2.B,C0084H9,Gardnerella lacydonensis,0.5204337343437995,0.11181521714420922
C0093B3.3A1.A,C0093B3,Gardnerella piotii,0.7949306673793591,0.03915649897141452
C0093B3.3A1.B,C0093B3,Gardnerella piotii,0.8297536162653442,0.33665197054202034
C0093B3.3A2.A,C0093B3,Gardnerella piotii,0.4508489613109738,0.104540770551799
C0093B3.3A2.B,C0093B3,Gardnerella piotii,0.712119044582965,0.11295530953407165
C0096A1.2A1.A,C0096A1,Gardnerella leopoldii,0.6644693820371558,0.058924048390918415
C0096A1.2A1.B,C0096A1,Gardnerella leopoldii,0.6172427816074589,0.04336503208128713
C0096A1.2A2.A,C0096A1,Gardnerella leopoldii,0.5884905696306942,0.07134444934163164
C0100B2.1B2.A,C0100B2,Gardnerella sp. 10,0.7349283326609789,0.086881483566607
C0100B2.1B2.B,C0100B2,Gardnerella sp. 10,0.7633909302472445,0.08425753172790212
C0101A1.3A1.A,C0101A1,Gardnerella sp. 11,0.5552273003659399,0.08089005464977095
C0101A1.3A1.B,C0101A1,Gardnerella sp. 11,0.5296092286378559,0.10294960827976297
C0101A1.3A2.A,C0101A1,Gardnerella sp. 11,0.6177653439839665,0.2520848851927375
C0101A1.3A2.B,C0101A1,Gardnerella sp. 11,0.5786924301212395,0.1341210799267317
C0102A2.1A1.A,C0102A2,Gardnerella swidsinskii,0.7733545194173645,0.041267985976660336
C0102A2.1A1.B,C0102A2,Gardnerella swidsinskii,0.8467566650771213,0.07997457881145899
C0102A2.1A2.A,C0102A2,Gardnerella swidsinskii,0.9387842343804838,0.14657477957306628
C0102A2.1A2.B,C0102A2,Gardnerella swidsinskii,0.793038291467003,0.12785300120452156
C0179B4.1B1.A,C0179B4,Gardnerella sp. 7,0.7014382781119919,0.1367269406092215
C0179B4.1B1.B,C0179B4,Gardnerella sp. 7,0.7261576831142937,0.20387270467134094
C0179B4.1B2.A,C0179B4,Gardnerella sp. 7,0.8041060344463281,0.10830337286838998
C0179B4.1B2.B,C0179B4,Gardnerella sp. 7,0.73993912344716,0.11975703991027102
CMW7778B.2A1.A,CMW7778B,Gardnerella sp. 12,0.6019243847293044,0.06595687923563728
CMW7778B.2A1.B,CMW7778B,Gardnerella sp. 12,0.5787695215567566,0.02865958940319735
CMW7778B.2A2.A,CMW7778B,Gardnerella sp. 12,0.7012312824539905,0.08036896604686662
CMW7778B.2A2.B,CMW7778B,Gardnerella sp. 12,0.658660690991629,0.05448284067453161
Gv101.1B1.A,Gv101,Gardnerella greenwoodii,0.44274875201018515,0.05101242315017872
Gv101.1B1.B,Gv101,Gardnerella greenwoodii,0.3708809850996628,0.03511224743645235
Gv101.1B2.A,Gv101,Gardnerella greenwoodii,0.3051679780358711,0.1335427313342204
Gv101.1B2.B,Gv101,Gardnerella greenwoodii,0.4441587110886761,0.01706929377377032
Gv5-1.1B1.A,Gv5-1,Gardnerella swidsinskii,0.6315176350777703,0.05098614260612521
Gv5-1.1B1.B,Gv5-1,Gardnerella swidsinskii,0.6800282518364521,0.03077133145701048
Gv5-1.1B2.A,Gv5-1,Gardnerella swidsinskii,0.5817087679032393,0.07445733182984154
Gv5-1.1B2.B,Gv5-1,Gardnerella swidsinskii,0.5684521765528702,0.09928181596754514
JCP7275.1B1.A,JCP7275,Gardnerella lacydonensis,0.5524641912964683,0.06766429315755147
JCP7275.1B1.B,JCP7275,Gardnerella lacydonensis,0.5532015350266267,0.08064738394612773
